bin,m/z,Depth0
408,0.040585810032560704,0
409,0.04094657101475287,0
410,0.04130892828447689,0
411,0.0416728818417327,0
412,0.042038431686520335,0
413,0.042405577818839794,0
414,0.04277432023869108,0
415,0.04314465894607422,0
416,0.043516593940989154,0
417,0.043890125223435904,0
418,0.04426525279341449,0
419,0.0446419766509249,0
420,0.045020296795967155,0
421,0.04540021322854121,0
422,0.04578172594864708,0
423,0.046164834956284775,0
424,0.046549540251454295,0
425,0.046935841834155674,0
426,0.04732373970438884,0
427,0.047713233862153835,0
428,0.04810432430745069,0
429,0.048497011040279286,0
430,0.04889129406063979,0
431,0.049287173368532035,0
432,0.049684648963956184,0
433,0.05008372084691216,0
434,0.05048438901739988,0
435,0.05088665347541949,0
436,0.05129051422097086,0
437,0.051695971254054125,0
438,0.05210302457466922,0
439,0.052511674182816055,0
440,0.0529219200784948,0
441,0.05333376226170528,0
442,0.05374720073244768,0
443,0.05416223549072189,0
444,0.05457886653652785,0
445,0.054997093869865704,0
446,0.05541691749073531,0
447,0.05583833739913681,0
448,0.05626135359507014,0
449,0.05668596607853522,0
450,0.05711217484953219,0
451,0.057539979908060916,0
452,0.05796938125412154,0
453,0.05840037888771395,0
454,0.05883297280883818,0
455,0.059267163017494275,0
456,0.059702949513682116,0
457,0.06014033229740186,0
458,0.06057931136865339,0
459,0.06101988672743674,0
460,0.06146205837375195,0
461,0.06190582630759891,0
462,0.06235119052897777,0
463,0.06279815103788843,0
464,0.06324670783433091,0
465,0.06369686091830525,0
466,0.06414861028981131,0
467,0.0646019559488493,0
468,0.06505689789541905,0
469,0.06551343612952065,0
470,0.06597157065115405,0
471,0.0664313014603193,0
472,0.0668926285570164,0
473,0.06735555194124528,0
474,0.06782007161300599,0
475,0.06828618757229851,0
476,0.06875389981912287,0
477,0.0692232083534791,0
478,0.06969411317536708,0
479,0.07016661428478693,0
480,0.07064071168173859,0
481,0.07111640536622205,0
482,0.0715936953382374,0
483,0.07207258159778453,0
484,0.07255306414486346,0
485,0.07303514297947424,0
486,0.07351881810161681,0
487,0.07400408951129128,0
488,0.07449095720849754,0
489,0.07497942119323558,0
490,0.07546948146550549,0
491,0.07596113802530717,0
492,0.07645439087264072,0
493,0.07694924000750612,0
494,0.0774456854299033,0
495,0.07794372713983232,0
496,0.07844336513729314,0
497,0.0789445994222858,0
498,0.07944742999481032,0
499,0.07995185685486661,0
500,0.08045788000245474,0
501,0.08096549943757468,0
502,0.08147471516022646,0
503,0.0819855271704101,0
504,0.08249793546812555,0
505,0.08301194005337277,0
506,0.08352754092615185,0
507,0.08404473808646273,0
508,0.08456353153430549,0
509,0.08508392126968005,0
510,0.0856059072925864,0
511,0.08612948960302459,0
512,0.08665466820099459,0
513,0.08718144308649646,0
514,0.08770981425953008,0
515,0.0882397817200956,0
516,0.08877134546819292,0
517,0.08930450550382203,0
518,0.08983926182698303,0
519,0.09037561443767576,0
